date,time,open,high,low,close,volume
2025.04.18,09:00,142.356,142.393,142.288,142.354,11603
2025.04.18,10:00,142.353,142.387,142.282,142.378,12990
2025.04.18,11:00,142.383,142.394,142.329,142.372,14219
2025.04.18,12:00,142.366,142.391,142.34,142.374,13487
2025.04.18,13:00,142.376,142.378,142.296,142.343,7151
2025.04.18,14:00,142.34,142.364,142.248,142.315,10291
2025.04.18,15:00,142.313,142.361,142.236,142.313,13401
2025.04.18,16:00,142.305,142.361,142.26,142.351,8357
2025.04.18,17:00,142.338,142.358,142.214,142.287,12879
2025.04.18,18:00,142.286,142.293,142.185,142.221,10209
2025.04.18,19:00,142.222,142.247,142.097,142.176,10096
2025.04.18,20:00,142.194,142.296,142.108,142.19,12357
2025.04.18,21:00,142.175,142.197,142.113,142.146,11842
2025.04.18,22:00,142.144,142.194,142.077,142.137,8164
2025.04.18,23:00,142.147,142.188,142.055,142.056,4529
2025.04.21,00:00,142.052,142.078,141.656,141.841,684
2025.04.21,01:00,141.831,142.108,141.679,141.733,4852
2025.04.21,02:00,141.735,141.765,141.492,141.581,10028
2025.04.21,03:00,141.581,141.585,141.134,141.185,11770
2025.04.21,04:00,141.186,141.198,140.963,140.973,7468
2025.04.21,05:00,140.97,141.08,140.608,140.782,9161
2025.04.21,06:00,140.782,140.832,140.651,140.753,6178
2025.04.21,07:00,140.762,140.975,140.753,140.763,5404
2025.04.21,08:00,140.762,140.78,140.608,140.637,6068
2025.04.21,09:00,140.638,140.903,140.61,140.751,6400
2025.04.21,10:00,140.752,140.818,140.533,140.551,8287
2025.04.21,11:00,140.552,140.719,140.537,140.571,8385
2025.04.21,12:00,140.572,140.687,140.462,140.651,7557
2025.04.21,13:00,140.65,140.991,140.635,140.98,5983
2025.04.21,14:00,140.981,141.071,140.742,140.79,8391
2025.04.21,15:00,140.788,141.016,140.636,140.773,7737
2025.04.21,16:00,140.773,141.037,140.692,140.737,11339
2025.04.21,17:00,140.738,140.911,140.561,140.894,10441
2025.04.21,18:00,140.894,141.007,140.784,140.811,9398
2025.04.21,19:00,140.814,140.968,140.761,140.827,6776
2025.04.21,20:00,140.825,140.921,140.629,140.644,6076
2025.04.21,21:00,140.645,140.685,140.56,140.572,5313
2025.04.21,22:00,140.573,140.887,140.551,140.855,5011
2025.04.21,23:00,140.853,140.971,140.788,140.81,3723
2025.04.22,00:00,140.809,140.904,140.7,140.791,344
2025.04.22,01:00,140.791,140.862,140.704,140.731,2000
2025.04.22,02:00,140.728,140.912,140.642,140.862,4408
2025.04.22,03:00,140.863,141.168,140.84,140.845,10734
2025.04.22,04:00,140.849,140.989,140.755,140.861,8103
2025.04.22,05:00,140.859,140.863,140.539,140.545,4735
2025.04.22,06:00,140.545,140.547,140.092,140.199,8416
2025.04.22,07:00,140.201,140.209,140.09,140.192,5555
2025.04.22,08:00,140.191,140.341,139.88,139.917,8707
2025.04.22,09:00,139.917,140.504,139.878,140.384,10801
2025.04.22,10:00,140.385,140.504,140.196,140.274,10557
2025.04.22,11:00,140.273,140.626,140.187,140.505,9132
2025.04.22,12:00,140.506,140.572,140.319,140.446,7585
2025.04.22,13:00,140.448,140.469,140.201,140.319,6701
2025.04.22,14:00,140.318,140.383,140.162,140.249,6537
2025.04.22,15:00,140.246,140.558,140.201,140.526,7142
2025.04.22,16:00,140.525,140.793,140.502,140.765,10210
2025.04.22,17:00,140.766,140.915,140.628,140.714,7993
2025.04.22,18:00,140.71,140.912,140.658,140.867,5926
2025.04.22,19:00,140.868,141.358,140.783,141.295,10565
2025.04.22,20:00,141.275,141.388,141.032,141.106,12801
2025.04.22,21:00,141.108,141.508,141.103,141.482,6799
2025.04.22,22:00,141.483,141.632,141.437,141.607,5673
2025.04.22,23:00,141.605,141.664,141.492,141.518,3209
2025.04.23,00:00,141.517,142.537,141.421,142.537,1478
2025.04.23,01:00,142.55,143.217,142.483,143.003,10382
2025.04.23,02:00,143.001,143.101,142.55,142.689,11510
2025.04.23,03:00,142.69,142.715,142.052,142.075,12604
2025.04.23,04:00,142.063,142.252,141.656,141.755,9891
2025.04.23,05:00,141.756,141.998,141.742,141.883,8560
2025.04.23,06:00,141.882,142.192,141.792,142.187,7890
2025.04.23,07:00,142.188,142.243,141.911,141.956,4761
2025.04.23,08:00,141.954,142.144,141.737,142.071,6758
2025.04.23,09:00,142.072,142.143,141.597,141.703,10331
2025.04.23,10:00,141.701,141.94,141.52,141.863,10950
2025.04.23,11:00,141.865,141.947,141.701,141.728,8275
2025.04.23,12:00,141.727,141.938,141.565,141.873,7413
2025.04.23,13:00,141.875,142.027,141.793,141.993,6379
2025.04.23,14:00,141.992,142.184,141.637,141.647,7446
2025.04.23,15:00,141.651,141.881,141.567,141.841,7248
2025.04.23,16:00,141.841,142.691,141.743,142.689,14400
2025.04.23,17:00,142.688,142.787,142.242,142.628,18258
2025.04.23,18:00,142.627,142.72,142.17,142.636,17125
2025.04.23,19:00,142.634,143.071,142.557,143.011,12537
2025.04.23,20:00,143.012,143.288,142.925,143.234,8608
